id,source_lead_id,username,text,geo,payment_methods_mentioned,company,position
1161,493594,Thomasknowall,"⚡ **Elite Trading Platform + CRM – Serious Brokers Only**
🔥 24/7 bulletproof performance & hands-free automation
📈 **Built to conquer Forex, Crypto, CFD & Recovery**
💳 Integrated PSP - turn traffic into instant revenue
🌐 Custom branded website included FREE with every setup
🏆 Your competitors won’t know what hit them
💥 **Unlock the ultimate broker toolkit!**",[],"[""Forex"", ""Crypto"", ""CFD""]","",""
1180,499275,Rock_star_sudhir,"This Side From Sudhir Sharma & I'm Professional Paying or Payout Provider from India UPI IMPS NEFT RTGS 2.5% Out of reng USDT payout 3.5% current business account with Merchant qr Available for Smoth Paying experience 
Settlement Way on Chain ⛓️ Trc20 network T+0","[""India""]","[""UPI"", ""IMPS"", ""NEFT"", ""RTGS"", ""USDT (TRC20)""]","",""
1182,500203,ed_leads,"#crm  #traffic🚀 All-in-one solution for Forex & Crypto brokers: PSP, CRM, telephony, call-center tools and live traffic. One provider, one ecosystem. DM us for a demo and pricing.","[""Norway"", ""Germany"", ""UK"", ""NL""]","[""PSP""]","",""
1184,501927,TopMedia_Max,"**__Looking for high quality leads for your office ? 
you're at the right place!__**
**HQ Live Fx/Crypto Traffic, ready FTDs, Recovery/Chargeback**

✔️ **__PSP__** **__Depositors, chargeback/recovery, registrations__**
**__( 2022-2026 )__****__⚡️__**
🇨🇦🇦🇺🇬🇧🇫🇷🇧🇪🇱🇺🇦🇹🇩🇪🇨🇭🇳🇱🇮🇹🇪🇸🇵🇹➕

**__Global GEOs
API integration/Google sheet
Replacements__**
**__@TopMedia_Max__**","[""Canada"", ""Australia"", ""UK"", ""France"", ""Belgium"", ""Luxembourg"", ""Austria"", ""Germany"", ""Switzerland"", ""Netherlands"", ""Italy"", ""Spain"", ""Portugal"", ""Global""]","[""PSP Depositors"", ""Chargeback/Recovery""]","",""
1166,496444,HDRikka,"**#Supply**

**No:** 0510
**
Supply Resource: BULLPAY Multi-Currency Payment Gateway & Merchant Onboarding**

**Resource Details:** **BULLPAY**, owned and operated by RynixSoft, provides multi-currency payment processing and merchant onboarding solutions for B2B businesses across India, Pakistan, and crypto markets.
**INR Processing:** Supporting Pay-In at 6% + ₹6 and Pay-Out at 3% + ₹6 per transaction, with specialized Safe Withdrawal routes available.
**PKR Processing:** Offering Pay-In through EasyPaisa at 7% and JazzCash at 6%, with Pay-Out at a 4% flat rate.
**USDT Processing:** Supporting crypto Pay-In at 3% and Pay-Out at 1%, providing an additional settlement option for international businesses.
**Merchant Services:** Currently accepting new merchant accounts with fiat and crypto processing solutions designed for B2B payment operations.

**Contact: ** @lawrasur 
@rynixsoft

**Supply/Demand Resource on ****Huidu.in****: 
****https://huidu.in/en/business/30037**

❗️ **Please be careful to prevent fraud when cooperating with supply and demand resources. If you need a guaranteed transaction, please contact ****@HuiduEscrow****

****🔥**** Join ****Huidu.io**** iGaming Prime Hub to enjoy the supply and demand resources, to be one of us, please contact ****@huidushivam**** ****@hdmangal**","[""India"", ""Pakistan""]","[""INR (Pay-In/Pay-Out)"", ""PKR (EasyPaisa, JazzCash)"", ""USDT""]",BULLPAY,""
1167,496752,HDRikka,"**#Supply**

**No:** 0517
**
Supply Resource: IDto Identity Verification & KYC Infrastructure**

**Resource Details:** **IDto** is an identity and verification infrastructure platform providing unified API solutions for KYC, KYB, fraud prevention, and digital customer onboarding.
**Verification Solutions:** Supporting CKYC, DigiLocker, PAN verification, global identity and document verification, bank account verification, face matching, liveness detection, KYB, and mobile intelligence.
**API Infrastructure:** Connecting businesses to 400+ verification APIs with intelligent routing, automated fallbacks, normalized responses, and workflow management through a unified API layer.
**Target Partners:** Particularly suitable for Indian fintech, lending, banking, insurance, marketplaces, crypto/Web3, and merchant onboarding businesses requiring scalable identity and verification infrastructure.

**Contact:** Available at Website

**Supply/Demand Resource on ****Huidu.in****: 
****https://huidu.in/en/business/30061**

❗️ **Please be careful to prevent fraud when cooperating with supply and demand resources. If you need a guaranteed transaction, please contact ****@HuiduEscrow****

****🔥**** Join ****Huidu.io**** iGaming Prime Hub to enjoy the supply and demand resources, to be one of us, please contact ****@huidushivam**** ****@hdmangal**","[""India"", ""Pakistan""]","[""INR"", ""PKR"", ""USDT"", ""crypto""]",BULLPAY,""
1169,496916,Eternity_99,"PSP 🇮🇳India first-hand payment solution provider

(P2P, P2C, H2H, UPI Intent)

⚠️No need to fill in UTR

1️⃣Igaming traffic

2️⃣Forex traffic  

💻DM:@Eternity_99","[""India""]","[""P2P"", ""P2C"", ""H2H"", ""UPI""]","",""
1171,497650,Leoncrm,"🔥 **All-in-One Platform Built to Dominate**🔥
📈 Conquer Forex, Crypto, Arbitrage, CFD & Recovery
🧠 AI-powered monitoring & advanced reporting
💬 CRM with built-in chat + WhatsApp sync
🌐 **Your own branded website included at no cost**
🔐 Full VOIP, VPN & RDP support unlocked
💳 Direct PSP + bank connections from day one
⚡️ **Go live in just 72 hours profits waiting!**",[],"[""PSP"", ""bank connections""]","",""
1172,497750,OnRamp_Andy,"#selling #psp EU UK AU payments , start testing today. Works flawlessly for ret,rec,ftds.","[""EU"", ""UK"", ""AU""]","[""payments""]",OnRamp,""
1173,497759,ed_leads,"#crm  #traffic🚀 All-in-one solution for Forex & Crypto brokers: PSP, CRM, telephony, call-center tools and premium live traffic. One provider, one ecosystem. DM us for a demo and pricing.","[""Norway"", ""Germany"", ""UK"", ""NL""]","[""PSP""]","",""
1175,498369,psp_solutions,"#selling #Payment  Psp for ftds!
90%+ approval - au, NZ, eu and more 👌
Weekly settlements , instant setup✅✅✅
DM for more information‼️","[""AU"", ""NZ"", ""EU""]",[],"",""
